compras values (7804, '01510441', '00124', '2011/10/24', null, 14, 382380, '029')
receber values(28081, '04750', '01524021', '2011/11/17', '2011/12/01', 961670, 961670, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(28082, '04750', '01524022', '2011/11/17', '2011/11/30', 979550, 979550, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(34943, '04750', '01529976', '2011/11/29', '2011/12/12', 964840, 964840, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(34944, '04750', '01529977', '2011/11/29', '2011/12/13', 795570, 795570, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(13719, '07017', '01512467', '2011/10/27', '2011/11/10', 371160, 371160, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(21853, '07017', '01516134', '2011/11/03', '2011/11/17', 364520, 364520, 0, 'NF', 'LJN6251', 'B', null, '029')
receber values(28083, '07017', '01523161', '2011/11/16', '2011/11/30', 574420, 574420, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(13720, '07045', '01511970', '2011/10/27', '2011/11/03', 155400, 155400, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(31245, '07508', '01526626', '2011/11/23', '2011/12/03', 210580, 210580, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(35867, '07605', '01530116', '2011/11/30', '2011/12/10', 270800, 270800, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(6417, '07638', '01503686', '2011/10/11', '2011/11/01', 450080, 450080, 0, 'NF', 'KXH2344', 'B', null, '029')
receber values(21854, '07638', '01518400', '2011/11/08', '2011/11/29', 182600, 182600, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(21855, '07638', '01519892', '2011/11/10', '2011/12/01', 164150, 164150, 0, 'NF', 'KCC1472', 'T', null, '029')
receber values(21856, '07638', '01521658', '2011/11/14', '2011/12/05', 283880, 283880, 0, 'NF', 'LRX2193', 'T', null, '029')
receber values(28084, '07638', '01523559', '2011/11/17', '2011/12/08', 604520, 604520, 0, 'NF', 'KXH2344', 'T', null, '029')
receber values(28085, '07638', '01525258', '2011/11/21', '2011/12/12', 530420, 530420, 0, 'NF', 'KMN4639', 'T', null, '029')
receber values(34010, '07638', '01528866', '2011/11/28', '2011/12/19', 322790, 322790, 0, 'NF', 'KMN4639', 'T', null, '029')
receber values(34945, '07638', '01529619', '2011/11/29', '2011/12/20', 150170, 150170, 0, 'NF', 'KXH2344', 'T', null, '029')
receber values(1449, '07799', '01499547', '2011/10/04', '2011/10/14', 125260, 131520, 6260, 'NF', 'KCC1472', 'B', null, '029')
receber values(1450, '07799', '01502818', '2011/10/10', '2011/10/20', 112160, 118330, 6170, 'NF', 'CXV9668', 'B', null, '029')
receber values(6418, '07799', '01506290', '2011/10/17', '2011/10/27', 124320, 128670, 4350, 'NF', 'LUP0560', 'B', null, '029')
receber values(11344, '07799', '01509901', '2011/10/24', '2011/11/03', 121760, 125410, 3650, 'NF', 'LUP0560', 'B', null, '029')
receber values(16284, '07799', '01513469', '2011/10/31', '2011/11/10', 122090, 126970, 4880, 'NF', 'CXV9668', 'B', null, '029')
receber values(21857, '07799', '01521581', '2011/11/14', '2011/11/24', 124220, 124220, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(28086, '07799', '01525095', '2011/11/21', '2011/12/01', 128840, 128840, 0, 'NF', 'LRA0472', 'T', null, '029')
receber values(34011, '07799', '01528783', '2011/11/28', '2011/12/08', 148200, 148200, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(6419, '07920', '01503737', '2011/10/11', '2011/11/01', 880390, 880390, 0, 'NF', 'LCE4302', 'B', null, '029')
receber values(6420, '07920', '01506046', '2011/10/16', '2011/10/31', 168110, 168110, 0, 'NF', 'KUV3781', 'B', null, '029')
receber values(21858, '07920', '01516706', '2011/11/04', '2011/11/25', 715820, 715820, 0, 'NF', 'LCE4302', 'B', null, '029')
receber values(21859, '07920', '01521762', '2011/11/14', '2011/12/05', 865450, 865450, 0, 'NF', 'KRB6158', 'T', null, '029')
receber values(28087, '07920', '01525633', '2011/11/21', '2011/12/06', 126820, 126820, 0, 'NF', 'LCE4302', 'T', null, '029')
receber values(16285, '07920', '02514311', '2011/10/31', '2011/11/21', 811760, 811760, 0, 'NF', 'LCE4302', 'B', null, '029')
receber values(6421, '07921', '01498715', '2011/10/03', '2011/10/24', 132860, 132860, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6422, '07921', '01502731', '2011/10/10', '2011/10/31', 329830, 329830, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6423, '07921', '01504706', '2011/10/13', '2011/10/29', 161240, 162850, 1610, 'NF', 'KYK5632', 'B', null, '029')
receber values(6424, '07921', '01506271', '2011/10/17', '2011/11/07', 296870, 296870, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(11345, '07921', '01509881', '2011/10/24', '2011/11/14', 226870, 229140, 2270, 'NF', 'KYK5632', 'B', null, '029')
receber values(11346, '07921', '01510625', '2011/10/25', '2011/11/15', 302400, 303910, 1510, 'NF', 'KYK5632', 'B', null, '029')
receber values(13721, '07921', '01511953', '2011/10/27', '2011/11/17', 645160, 645160, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16286, '07921', '01513363', '2011/10/31', '2011/11/21', 292680, 292680, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16287, '07921', '01514570', '2011/11/01', '2011/11/22', 330800, 330800, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21860, '07921', '01515525', '2011/11/03', '2011/11/24', 198740, 198740, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21861, '07921', '01517435', '2011/11/07', '2011/11/28', 316210, 316210, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21862, '07921', '01519750', '2011/11/10', '2011/12/01', 324510, 324510, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(21863, '07921', '01520581', '2011/11/11', '2011/12/02', 372270, 372270, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(21864, '07921', '01521570', '2011/11/14', '2011/12/05', 211680, 211680, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28088, '07921', '01525128', '2011/11/21', '2011/12/12', 612440, 612440, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34012, '07921', '01528777', '2011/11/28', '2011/12/19', 414720, 414720, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1451, '09732', '05244472', '2011/10/12', '2011/10/22', 82400, 83220, 820, 'NF', 'KYK5632', 'B', null, '029')
receber values(6425, '09732', '05245440', '2011/10/18', '2011/10/28', 120690, 124310, 3620, 'NF', 'KYK5632', 'B', null, '029')
receber values(11347, '09732', '05246738', '2011/10/25', '2011/11/04', 82400, 84460, 2060, 'NF', 'KYK5632', 'B', null, '029')
receber values(21865, '09732', '05249600', '2011/11/09', '2011/11/19', 84100, 84100, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28089, '09732', '05250894', '2011/11/16', '2011/11/26', 89000, 89000, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28090, '09732', '05251981', '2011/11/22', '2011/12/02', 163450, 163450, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1452, '09836', '01502733', '2011/10/10', '2011/10/20', 370800, 407880, 37080, 'NF', 'KYK5632', 'B', null, '029')
receber values(6426, '09836', '01506881', '2011/10/18', '2011/10/28', 208460, 220970, 12510, 'NF', 'KYK5632', 'B', null, '029')
receber values(11348, '09836', '01509880', '2011/10/24', '2011/11/03', 554290, 570920, 16630, 'NF', 'KYK5632', 'B', null, '029')
receber values(21866, '09836', '01518259', '2011/11/08', '2011/11/18', 967990, 987350, 19360, 'NF', 'KYK5632', 'T', null, '029')
receber values(28091, '09836', '01525129', '2011/11/21', '2011/12/01', 464450, 464450, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(33196, '09836', '01528260', '2011/11/27', '2011/12/07', 349010, 349010, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34013, '09836', '01528776', '2011/11/28', '2011/12/08', 700640, 700640, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1453, '10382', '01495067', '2011/09/26', '2011/10/17', 1653000, 1793510, 140510, 'NF', 'CXV9668', 'B', null, '029')
receber values(6427, '10382', '01499429', '2011/10/04', '2011/10/24', 1194600, 1194600, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(6428, '10382', '01499430', '2011/10/04', '2011/10/25', 1717160, 1768670, 51510, 'NF', 'KYV1613', 'B', null, '029')
receber values(6429, '10382', '01501704', '2011/10/07', '2011/10/28', 1811860, 1866220, 54360, 'NF', 'KMM5715', 'B', null, '029')
receber values(6430, '10382', '01503565', '2011/10/11', '2011/11/01', 352000, 352000, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(6431, '10382', '01504632', '2011/10/13', '2011/11/03', 123420, 123420, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(6432, '10382', '01506179', '2011/10/17', '2011/11/07', 1944500, 1963950, 19450, 'NF', 'KYV1613', 'B', null, '029')
receber values(6433, '10382', '01508103', '2011/10/20', '2011/11/10', 317200, 326720, 9520, 'NF', 'KYV1613', 'B', null, '029')
receber values(11349, '10382', '01510545', '2011/10/25', '2011/11/15', 354450, 366860, 12410, 'NF', 'KYV1613', 'T', null, '029')
receber values(13722, '10382', '01511889', '2011/10/27', '2011/11/17', 490550, 502810, 12260, 'NF', 'KYV1613', 'B', null, '029')
receber values(16288, '10382', '01513276', '2011/10/31', '2011/11/21', 392390, 392390, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(21867, '10382', '01516440', '2011/11/04', '2011/11/25', 850680, 850680, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(21868, '10382', '01518195', '2011/11/08', '2011/11/29', 773800, 773800, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(21869, '10382', '01519688', '2011/11/10', '2011/12/01', 81600, 81600, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(28092, '10382', '01522611', '2011/11/16', '2011/12/07', 789530, 789530, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(28093, '10382', '01525825', '2011/11/22', '2011/12/13', 434000, 434000, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(34014, '10382', '01528721', '2011/11/28', '2011/12/19', 200750, 200750, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(34946, '10382', '01529396', '2011/11/29', '2011/12/20', 331500, 331500, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(6434, '10737', '01509302', '2011/10/23', '2011/11/02', 200860, 201860, 1000, 'NF', 'KXH4906', 'B', null, '029')
receber values(35868, '10737', '01530226', '2011/11/30', '2011/12/10', 135800, 135800, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(6435, '13087', '01498688', '2011/10/03', '2011/10/24', 520190, 520190, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(6436, '13087', '01506248', '2011/10/17', '2011/11/07', 756000, 756000, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(6437, '13087', '01509386', '2011/10/23', '2011/11/13', 395300, 401230, 5930, 'NF', 'LSL2615', 'B', null, '029')
receber values(11350, '13087', '01509853', '2011/10/24', '2011/11/14', 288040, 290920, 2880, 'NF', 'LSL2615', 'B', null, '029')
receber values(12850, '13087', '01511315', '2011/10/26', '2011/11/16', 402250, 402250, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(14755, '13087', '01512975', '2011/10/30', '2011/11/20', 618560, 618560, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(16289, '13087', '01513443', '2011/10/31', '2011/11/21', 704180, 704180, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(21870, '13087', '01517420', '2011/11/07', '2011/11/28', 566740, 566740, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(21871, '13087', '01520919', '2011/11/13', '2011/12/04', 590840, 590840, 0, 'NF', 'LSL2615', 'T', null, '029')
receber values(21872, '13087', '01521508', '2011/11/14', '2011/12/05', 552390, 552390, 0, 'NF', 'LSL2615', 'T', null, '029')
receber values(28094, '13087', '01525053', '2011/11/21', '2011/12/12', 520680, 520680, 0, 'NF', 'LSL2615', 'T', null, '029')
receber values(34015, '13087', '01528703', '2011/11/28', '2011/12/19', 537380, 537380, 0, 'NF', 'LSL2615', 'T', null, '029')
receber values(6438, '14100', '05243990', '2011/10/10', '2011/10/24', 322330, 322330, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6439, '14100', '05245438', '2011/10/18', '2011/11/01', 399880, 403880, 4000, 'NF', 'KYK5632', 'B', null, '029')
receber values(16290, '14100', '05248263', '2011/11/02', '2011/11/16', 226700, 228970, 2270, 'NF', 'KYK5632', 'B', null, '029')
receber values(21873, '14100', '05249082', '2011/11/07', '2011/11/17', 477720, 480110, 2390, 'NF', 'KYK5632', 'B', null, '029')
receber values(21874, '14100', '05250675', '2011/11/15', '2011/11/29', 352700, 352700, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28095, '14100', '05251763', '2011/11/21', '2011/12/05', 420060, 420060, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(6440, '14770', '01502674', '2011/10/10', '2011/10/31', 165720, 165720, 0, 'NF', 'LBX9000', 'B', null, '029')
receber values(6441, '14770', '01504623', '2011/10/13', '2011/11/03', 584270, 584270, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(6442, '14770', '01508092', '2011/10/20', '2011/11/10', 370670, 370670, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(13723, '14770', '01511881', '2011/10/27', '2011/11/17', 364940, 364940, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(21875, '14770', '01518185', '2011/11/08', '2011/11/29', 172140, 172140, 0, 'NF', 'KYV1613', 'B', null, '029')
receber values(21876, '14770', '01519673', '2011/11/10', '2011/12/01', 272320, 272320, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(21877, '14770', '01521545', '2011/11/14', '2011/12/05', 251570, 251570, 0, 'NF', 'KNH3108', 'T', null, '029')
receber values(28096, '14770', '01525014', '2011/11/21', '2011/12/12', 263240, 263240, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(32158, '14770', '01527126', '2011/11/24', '2011/12/15', 141440, 141440, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(34016, '14770', '01528715', '2011/11/28', '2011/12/19', 392280, 392280, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(28097, '14778', '01523308', '2011/11/17', '2011/12/08', 369090, 369090, 0, 'NF', 'KNH3108', 'B', null, '029')
receber values(6443, '14781', '01503421', '2011/10/10', '2011/10/31', 1207580, 1207580, 0, 'NF', 'LGY8427', 'B', null, '029')
receber values(6444, '14781', '01507429', '2011/10/18', '2011/11/08', 1232800, 1232800, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(11351, '14781', '01511142', '2011/10/25', '2011/11/15', 612500, 633940, 21440, 'NF', 'LCP3836', 'T', null, '029')
receber values(21878, '14781', '01519552', '2011/11/09', '2011/11/30', 960450, 960450, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(28098, '14781', '01523205', '2011/11/16', '2011/12/07', 388700, 388700, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(16291, '14781', '02514375', '2011/10/31', '2011/11/21', 469640, 469640, 0, 'NF', 'LGY8427', 'B', null, '029')
receber values(16292, '14781', '02514387', '2011/10/31', '2011/11/21', 366140, 366140, 0, 'NF', 'LGY8427', 'B', null, '029')
receber values(1454, '14838', '01498128', '2011/10/02', '2011/10/23', 679450, 682850, 3400, 'NF', 'LQO1343', 'B', null, '029')
receber values(6445, '14838', '01498556', '2011/10/03', '2011/10/24', 292700, 292700, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6446, '14838', '01499293', '2011/10/04', '2011/10/25', 289740, 289740, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6447, '14838', '01502075', '2011/10/09', '2011/10/30', 585630, 588560, 2930, 'NF', 'LQO1343', 'B', null, '029')
receber values(6448, '14838', '01502554', '2011/10/10', '2011/10/31', 94300, 94300, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6449, '14838', '01504576', '2011/10/13', '2011/11/03', 593270, 593270, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6450, '14838', '01505802', '2011/10/16', '2011/11/06', 806930, 806930, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(11352, '14838', '01510514', '2011/10/25', '2011/11/09', 159800, 159800, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(16293, '14838', '01514781', '2011/11/02', '2011/11/23', 331540, 331540, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21879, '14838', '01515678', '2011/11/03', '2011/11/24', 656880, 656880, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21880, '14838', '01515679', '2011/11/03', '2011/11/24', 588730, 588730, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21881, '14838', '01517253', '2011/11/07', '2011/11/28', 144390, 144390, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21882, '14838', '01518137', '2011/11/08', '2011/11/29', 713460, 713460, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21883, '14838', '01519651', '2011/11/10', '2011/12/01', 332070, 332070, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(21884, '14838', '01519652', '2011/11/10', '2011/12/01', 647050, 647050, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(21885, '14838', '01520874', '2011/11/13', '2011/12/04', 189230, 189230, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(28099, '14838', '01523266', '2011/11/17', '2011/12/08', 623240, 623240, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(28100, '14838', '01524961', '2011/11/21', '2011/12/12', 297880, 297880, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(28101, '14838', '01525758', '2011/11/22', '2011/12/13', 218140, 218140, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(33197, '14838', '01528286', '2011/11/27', '2011/12/18', 180400, 180400, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(34017, '14838', '01528608', '2011/11/28', '2011/12/12', 123440, 123440, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(6451, '14905', '01502305', '2011/10/09', '2011/10/30', 189210, 190160, 950, 'NF', 'LUF0315', 'B', null, '029')
receber values(6452, '14905', '01503412', '2011/10/10', '2011/10/31', 1110330, 1110330, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(6453, '14905', '01504278', '2011/10/12', '2011/11/02', 899800, 899800, 0, 'NF', 'LBG8411', 'B', null, '029')
receber values(6454, '14905', '01504378', '2011/10/12', '2011/11/02', 1448000, 1448000, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(6455, '14905', '01504379', '2011/10/12', '2011/11/02', 521600, 524210, 2610, 'NF', 'LUF0315', 'B', null, '029')
receber values(6456, '14905', '01505285', '2011/10/13', '2011/11/03', 318800, 318800, 0, 'NF', 'LBG8411', 'B', null, '029')
receber values(6457, '14905', '01505330', '2011/10/13', '2011/11/03', 1570230, 1570230, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(6458, '14905', '01506012', '2011/10/16', '2011/11/06', 697130, 697130, 0, 'NF', 'LBG8411', 'B', null, '029')
receber values(6459, '14905', '01506689', '2011/10/17', '2011/11/07', 851700, 851700, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(6460, '14905', '01507985', '2011/10/19', '2011/11/09', 941180, 941180, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(6461, '14905', '01507986', '2011/10/19', '2011/11/09', 99800, 99800, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(6462, '14905', '01509511', '2011/10/23', '2011/11/13', 419300, 425590, 6290, 'NF', 'LUF0315', 'B', null, '029')
receber values(11353, '14905', '01510381', '2011/10/24', '2011/11/14', 137800, 139180, 1380, 'NF', 'LUF0315', 'B', null, '029')
receber values(14756, '14905', '01513227', '2011/10/30', '2011/11/20', 98800, 98800, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(16294, '14905', '01515325', '2011/11/02', '2011/11/23', 1707040, 1707040, 0, 'NF', 'LBG8411', 'B', null, '029')
receber values(16295, '14905', '01515340', '2011/11/02', '2011/11/23', 1594880, 1594880, 0, 'NF', 'LBG8411', 'B', null, '029')
receber values(21886, '14905', '01516194', '2011/11/03', '2011/11/24', 110560, 110560, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(21887, '14905', '01516214', '2011/11/03', '2011/11/24', 189800, 189800, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(21888, '14905', '01517166', '2011/11/06', '2011/11/27', 147800, 147800, 0, 'NF', 'LUF0315', 'B', null, '029')
receber values(21889, '14905', '01519449', '2011/11/09', '2011/11/30', 147800, 147800, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(21890, '14905', '01519513', '2011/11/09', '2011/11/30', 1347800, 1347800, 0, 'NF', 'LBG8411', 'T', null, '029')
receber values(21891, '14905', '01522443', '2011/11/15', '2011/12/06', 82940, 82940, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(28102, '14905', '01523136', '2011/11/16', '2011/12/07', 1726100, 1726100, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(28103, '14905', '01523997', '2011/11/17', '2011/12/08', 1005920, 1005920, 0, 'NF', 'LBG8411', 'T', null, '029')
receber values(28104, '14905', '01524085', '2011/11/17', '2011/12/08', 147800, 147800, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(31246, '14905', '01526952', '2011/11/23', '2011/12/14', 1616300, 1616300, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(33198, '14905', '01528496', '2011/11/27', '2011/12/18', 398700, 398700, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(34947, '14905', '01529951', '2011/11/29', '2011/12/20', 57100, 57100, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(34948, '14905', '01529952', '2011/11/29', '2011/12/20', 170800, 170800, 0, 'NF', 'LBG8411', 'T', null, '029')
receber values(6463, '15127', '01500884', '2011/10/06', '2011/10/27', 359200, 359200, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(6464, '15127', '01501661', '2011/10/07', '2011/10/28', 214640, 214640, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(6465, '15127', '01502040', '2011/10/09', '2011/10/30', 376090, 377970, 1880, 'NF', 'LSL2615', 'B', null, '029')
receber values(13724, '15127', '01511919', '2011/10/27', '2011/11/11', 170120, 170120, 0, 'NF', 'LSL2615', 'B', null, '029')
receber values(31247, '15127', '01526591', '2011/11/23', '2011/12/14', 965940, 965940, 0, 'NF', 'LSL2615', 'T', null, '029')
receber values(11354, '15733', '01509884', '2011/10/24', '2011/11/14', 726750, 734020, 7270, 'NF', 'KYK5632', 'B', null, '029')
receber values(32159, '15733', '01527164', '2011/11/24', '2011/12/15', 985130, 985130, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1455, '16111', '01498247', '2011/10/02', '2011/10/23', 281380, 282790, 1410, 'NF', 'LBT3689', 'B', null, '029')
receber values(6466, '16111', '01500948', '2011/10/06', '2011/10/27', 452760, 452760, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6467, '16111', '01502144', '2011/10/09', '2011/10/30', 177370, 178260, 890, 'NF', 'LBT3689', 'B', null, '029')
receber values(6468, '16111', '01504768', '2011/10/13', '2011/11/03', 497420, 497420, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6469, '16111', '01505587', '2011/10/14', '2011/11/04', 497810, 497810, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6470, '16111', '01505909', '2011/10/16', '2011/11/06', 1621610, 1621610, 0, 'NF', 'KMI7446', 'B', null, '029')
receber values(6471, '16111', '01508200', '2011/10/20', '2011/11/04', 139160, 139160, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(6472, '16111', '01509288', '2011/10/23', '2011/11/13', 165860, 168350, 2490, 'NF', 'LBT3689', 'B', null, '029')
receber values(13725, '16111', '01512047', '2011/10/27', '2011/11/11', 222040, 222040, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(14757, '16111', '01513017', '2011/10/30', '2011/11/20', 1368210, 1368210, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(16296, '16111', '01513707', '2011/10/31', '2011/11/21', 277320, 277320, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(16297, '16111', '01514909', '2011/11/02', '2011/11/23', 187290, 187290, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(21892, '16111', '01515575', '2011/11/03', '2011/11/24', 230080, 230080, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(21893, '16111', '01516849', '2011/11/06', '2011/11/27', 261370, 261370, 0, 'NF', 'LBT3689', 'B', null, '029')
receber values(21894, '16111', '01519776', '2011/11/10', '2011/12/01', 269380, 269380, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(21895, '16111', '01520987', '2011/11/13', '2011/12/04', 374230, 374230, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(28105, '16111', '01523518', '2011/11/17', '2011/12/08', 291330, 291330, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(28106, '16111', '01524666', '2011/11/20', '2011/12/11', 219210, 219210, 0, 'NF', 'KXH4906', 'T', null, '029')
receber values(32160, '16111', '01527206', '2011/11/24', '2011/12/15', 308130, 308130, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(33199, '16111', '01528343', '2011/11/27', '2011/12/18', 236490, 236490, 0, 'NF', 'LBT3689', 'T', null, '029')
receber values(16298, '16111', '02514279', '2011/10/31', '2011/11/21', 277320, 277320, 0, 'NF', 'C005', 'B', null, '029')
receber values(6473, '16137', '01505892', '2011/10/16', '2011/10/30', 710360, 713910, 3550, 'NF', 'KYK5632', 'B', null, '029')
receber values(6474, '16137', '01507609', '2011/10/19', '2011/11/02', 224700, 225820, 1120, 'NF', 'KYK5632', 'B', null, '029')
receber values(6475, '16137', '01508174', '2011/10/20', '2011/11/03', 582270, 582270, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(13726, '16137', '01511954', '2011/10/27', '2011/11/10', 738440, 738440, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16299, '16137', '01513365', '2011/10/31', '2011/11/14', 274650, 277400, 2750, 'NF', 'KYK5632', 'B', null, '029')
receber values(21896, '16137', '01515527', '2011/11/03', '2011/11/17', 504290, 504290, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21897, '16137', '01516547', '2011/11/04', '2011/11/18', 163450, 163450, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21898, '16137', '01519751', '2011/11/10', '2011/11/24', 1211770, 1211770, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21899, '16137', '01520936', '2011/11/13', '2011/11/27', 247500, 247500, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28107, '16137', '01523420', '2011/11/17', '2011/12/01', 896400, 896400, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28108, '16137', '01524277', '2011/11/18', '2011/12/02', 326960, 326960, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28109, '16137', '01524629', '2011/11/20', '2011/12/04', 365200, 365200, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28110, '16137', '01525886', '2011/11/22', '2011/12/06', 561220, 561220, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(32161, '16137', '01527161', '2011/11/24', '2011/12/08', 1427140, 1427140, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(33200, '16137', '01528259', '2011/11/27', '2011/12/11', 242460, 242460, 0, 'NF', 'KYK5632', 'T', null, '029')
